279066631451502998554337906829144231884,,root,0,,,10.245.195.5,1583172727.1033268
260877169859421181749380716624631931420,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177424.7169516
42281046237610214482273144380965018667,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177425.0604296
101662926002731126960967234587795614076,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177425.4086068
231951755327034336015171752528696421312,#MeToo,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177429.0866287
277129240524484283529861068505268317925,😊,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177429.455062
70045370490821242108109947718582791090,God,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177430.0005267
17895492046653008822996322843796106363,2013,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177430.6345823
87529701396679924229742034031083828325,@ArianaGrande,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177431.2423668
264544612042758763456054668419388811891,New York City,ui,3,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177431.5528502
298348668056084953711176050603912575469,#MeToo,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177591.8047943
287024320636943148324084371147699321137,😊,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177592.2437322
246180564325349094455232447289015236943,God,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177592.7444124
185480935524629038275763579854596802522,New York City,ui,3,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177593.3915815
75360706966482573872563988338385980551,2013,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177594.0438104
102497679649393423765538368409026952449,@ArianaGrande,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177594.6891866
13922320242112783872016667032772420006,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177599.5353186
67995840867819722739990811630906159225,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177599.9375315
9430070177393386173367864686928626642,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177600.4276762
189655281662264874849214579864167035918,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177601.1145544
153825273094688568639297273020581195179,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177601.694806
214205457922953292683262107396602707502,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583177602.0182786
74576317207429343939728574070710129731,#MeToo,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177610.7270925
296133547380196840115830138759702739205,😊,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177611.099173
135059201024103325206865671914922898278,God,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177611.6150277
112165620899270552508011316773728947933,2013,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177612.2255132
309060542544488765966394909787004798821,@ArianaGrande,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177612.5514624
226699176884736260599457432121779082250,New York City,ui,3,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583177612.873708
91681761139501558924590533970862455007,#MeToo,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583178421.1564164
203235853983014109269609316463104297017,😊,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583178421.56245
56047078807393147425104159043272650915,God,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583178422.0729423
171342556644091274655111305823645312827,New York City,ui,3,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583178422.781334
104361332640066248803100116967972533655,2013,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583178423.7080138
91241453953692570238792812116391118651,@ArianaGrande,ui,1,en,[rank_noRT],10.245.195.5,"['src', 'lang', 'metric']",1583178424.0589402
195522836010404185483227230515029647170,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178428.4311616
78649380412674619516998008985255763219,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178428.836448
91915151012215249725775524798798524345,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178429.3417034
132114247739992270554651889358488663047,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178429.967983
143976964671059107996263849341405372941,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178430.5859642
100368445474910045727214166288900142979,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178431.1620789
285874523869970452468700664528303774818,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178434.4513195
333068977262770935089021821513909047840,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178434.8492877
212818801891763398528738293590602633320,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178435.3339658
271794168577454006473221262877241704486,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178435.9728422
123398957546693838180018017522927370939,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178436.6021845
168902857830915091247909158576150266252,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178437.2366688
269245970995556653263594214101328708901,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178450.069501
202988285235222796212458338614925061625,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178450.436977
6488383295164848584206707710587201412,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178450.9176548
87877072054438822247852023877033260685,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178451.5386293
196186619620612730145583672575040217382,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178452.1760852
153465469188160353781266669527035379524,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178452.701179
125730442877442416361408165653403284225,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178665.9131904
189414396277747710743142539293374769918,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178666.3283794
81360411026006621436568851172163116495,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178666.81737
320484498558171577664770147886783487838,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178667.4597018
241393329799405527068549403145735139963,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178668.115776
266077872103070796410151828754479388811,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178668.6993496
206664614667421703487411538216795398177,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178672.0148962
271331775521873929273139942889714150227,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178672.3803258
190420219368700127400746272909530091715,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178672.8600585
163985915796897975979597441160296048345,2013,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178673.4824414
118873608438646368133828247249057059952,@ArianaGrande,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178674.1062772
58866712991895331840519762795224552122,New York City,ui,3,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178674.6834574
265381650272578987695120424975502914304,#MeToo,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178790.3294287
43162202995307117073878639369378303871,😊,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178790.7927082
204202729406232187137741187685787088633,God,ui,1,en,[rank],10.245.195.5,"['src', 'lang', 'metric']",1583178791.3043826
