,utf,url,name
118,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
119,U+270a,https://www.fileformat.info/info/unicode/char/270a/raised_fist.svg,:raised_fist:
120,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
121,U+270b,https://www.fileformat.info/info/unicode/char/270b/raised_hand.svg,:raised_hand:
122,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
123,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
124,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
125,U+2708,https://www.fileformat.info/info/unicode/char/2708/airplane.svg,:airplane:
126,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
127,U+2709,https://www.fileformat.info/info/unicode/char/2709/envelope.svg,:envelope:
128,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
129,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
130,U+2705,https://www.fileformat.info/info/unicode/char/2705/white_heavy_check_mark.svg,:white_heavy_check_mark:
131,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
132,U+2702,https://www.fileformat.info/info/unicode/char/2702/black_scissors.svg,:black_scissors:
133,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
134,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
135,U+2701,https://www.fileformat.info/info/unicode/char/2701/upper_blade_scissors.svg,:upper_blade_scissors:
136,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
137,U+2704,https://www.fileformat.info/info/unicode/char/2704/white_scissors.svg,:white_scissors:
138,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
139,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
140,U+2700,https://www.fileformat.info/info/unicode/char/2700/black_safety_scissors.svg,:black_safety_scissors:
141,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
142,U+26fd,https://www.fileformat.info/info/unicode/char/26fd/fuel_pump.svg,:fuel_pump:
143,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
144,U+26fa,https://www.fileformat.info/info/unicode/char/26fa/tent.svg,:tent:
145,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
146,U+26f9,https://www.fileformat.info/info/unicode/char/26f9/person_with_ball.svg,:person_with_ball:
147,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
148,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
149,U+26f7,https://www.fileformat.info/info/unicode/char/26f7/skier.svg,:skier:
150,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
151,U+26fa,https://www.fileformat.info/info/unicode/char/26fa/tent.svg,:tent:
152,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
153,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
154,U+26f5,https://www.fileformat.info/info/unicode/char/26f5/sailboat.svg,:sailboat:
155,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
156,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
157,U+26f2,https://www.fileformat.info/info/unicode/char/26f2/fountain.svg,:fountain:
158,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
159,U+26f3,https://www.fileformat.info/info/unicode/char/26f3/flag_in_hole.svg,:flag_in_hole:
160,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
161,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
162,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
163,U+26f0,https://www.fileformat.info/info/unicode/char/26f0/mountain.svg,:mountain:
164,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
165,U+26f5,https://www.fileformat.info/info/unicode/char/26f5/sailboat.svg,:sailboat:
166,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
167,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
168,U+26ea,https://www.fileformat.info/info/unicode/char/26ea/church.svg,:church:
169,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
170,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
171,U+26e9,https://www.fileformat.info/info/unicode/char/26e9/shinto_shrine.svg,:shinto_shrine:
172,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
173,U+26ea,https://www.fileformat.info/info/unicode/char/26ea/church.svg,:church:
174,U+005d,https://www.fileformat.info/info/unicode/char/005d/right_square_bracket.svg,:right_square_bracket:
175,U+007c,https://www.fileformat.info/info/unicode/char/007c/vertical_line.svg,:vertical_line:
176,U+005b,https://www.fileformat.info/info/unicode/char/005b/left_square_bracket.svg,:left_square_bracket:
177,U+26e8,https://www.fileformat.info/info/unicode/char/26e8/black_cross_on_shield.svg,:black_cross_on_shield:
178,U+002d,https://www.fileformat.info/info/unicode/char/002d/hyphenminus.svg,:hyphenminus:
179,U+26ff,https://www.fileformat.info/info/unicode/char/26ff/white_flag_with_horizontal_middle_black_stripe.svg,:white_flag_with_horizontal_middle_black_stripe:
